Question,Answer
"What is the price of this item?","The price is listed on the product page. You can find detailed pricing information including any available discounts."
"Is this item available?","Yes, the item is currently in stock and ready for purchase."
"What are the payment options?","We accept credit cards, mobile money (M-Pesa, Airtel Money), bank transfers, and cash on delivery."
"Can I return this item?","Yes, you can return the item within 7 days of purchase if it's in original condition with receipt."
"How long does delivery take?","Delivery typically takes 3-5 business days within Nairobi and 5-7 days for other regions."
"Do you offer free delivery?","Yes, we offer free delivery for orders above KSh 2,000 within Nairobi."
"Can I negotiate the price?","Yes, you can contact the seller directly to negotiate the price for most items."
"Is this item genuine?","All items on our platform are verified by sellers. Look for verified seller badges for authenticity."
"What is your return policy?","Items can be returned within 7 days if unused and in original packaging with receipt."
"How do I contact the seller?","You can contact the seller through the chat feature on the product page or call them directly."
"Do you have a warranty?","Warranty terms depend on the product and seller. Check the product description for warranty information."
"Can I pay in installments?","Some sellers offer installment payment options. Check the payment section on the product page."
"How do I track my order?","You will receive a tracking number via SMS once your order is shipped."
"What if the item is damaged during delivery?","Contact us immediately with photos of the damage. We'll arrange a replacement or refund."
"Can I cancel my order?","Orders can be cancelled within 2 hours of placement if not yet shipped."
"Do you deliver nationwide?","Yes, we deliver to all major towns and cities across Kenya."
"What are your business hours?","Our customer service is available 24/7. Seller availability may vary."
"How do I report a problem with my order?","Contact our customer service through the help section or call our support line."
"Can I change my delivery address?","Delivery address can be changed before the item is shipped. Contact the seller immediately."
"What payment methods do you accept?","We accept M-Pesa, Airtel Money, credit/debit cards, bank transfers, and cash on delivery."
"How secure is my payment?","All payments are processed through secure, encrypted channels to protect your financial information."
"Can I get a receipt?","Yes, you will receive an electronic receipt via email and SMS after payment confirmation."
"What if I receive the wrong item?","Contact us immediately. We'll arrange for the correct item to be sent and wrong item collected."
"How do I know if a seller is trustworthy?","Look for verified seller badges, customer reviews, and seller ratings before making a purchase."
"Can I bulk purchase items?","Yes, contact the seller directly for bulk purchase discounts and arrangements."
"Do you have customer support?","Yes, our customer support team is available 24/7 to assist with any queries or issues."
"How do I update my profile information?","Go to your account settings to update your personal information, contact details, and preferences."
"Can I save items for later?","Yes, you can add items to your wishlist or favorites to view them later."
"How do I search for specific items?","Use the search bar at the top of the page and apply filters to narrow down your results."
"What categories of items do you sell?","We sell electronics, cars, phones, fashion, home appliances, furniture, and much more."
"Can I sell my own items?","Yes, you can create a seller account and list your items for sale on our platform."
"How do I become a verified seller?","Submit your business documents and complete the verification process in your seller dashboard."
"What are the selling fees?","Listing is free. We charge a small commission only when your item sells successfully."
"How do I promote my listings?","Use our premium listing options, featured ads, and boost services to increase visibility."
"Can I edit my listing after posting?","Yes, you can edit your listing details, price, and photos anytime from your seller dashboard."
"How do I handle buyer inquiries?","Respond to buyer messages promptly through the chat feature or direct calls."
"What if a buyer doesn't pay?","Contact our support team. We have policies in place to protect sellers from non-paying buyers."
"How do I ship my sold items?","We provide shipping guidelines and can connect you with reliable courier services."
