title,price,location,url,description
BMW 320i 2008 Black,"KSh 450,000","Nakuru, Nakuru Town East",https://jiji.co.ke/nakuru-east/cars/bmw-320i-2008-black-BkFciCla371PCx8fQWzRqjRG.html?page=1&pos=1&cur_pos=1&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=0,"KSh 450,000BMW 320i 2008 BlackOriginal paint ready papers new tyres accident free 6 gear unit recently serviced with wiring issuesLocal UsedManualNakuru, Nakuru Town EastVerified IDDIAMONDKSh 1,950,00"
"KSh 450,000","KSh 450,000",,,"KSh 450,000"
"Original paint ready papers new tyres accident free 6 gear unit recently serviced with wiring issuesLocal UsedManualNakuru, Nakuru Town East",,"Nakuru, Nakuru Town East",,"Original paint ready papers new tyres accident free 6 gear unit recently serviced with wiring issuesLocal UsedManualNakuru, Nakuru Town East"
Original paint ready papers new tyres accident free 6 gear unit recently serviced with wiring issues,,,,Original paint ready papers new tyres accident free 6 gear unit recently serviced with wiring issues
Local UsedManual,,,,Local UsedManual
Local Used,,,,Local Used
Manual,,,,Manual
"Nakuru, Nakuru Town East",,"Nakuru, Nakuru Town East",,"Nakuru, Nakuru Town East"
Land Rover Discovery 2007 Gray,"KSh 1,950,000","Nairobi, Mombasa Road",https://jiji.co.ke/mombasa-road/cars/land-rover-discovery-2007-gray-5GWSBWgBejjH0E3Lryjjou0b.html?page=1&pos=5&cur_pos=5&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=4,"Verified IDDIAMONDKSh 1,950,000Land Rover Discovery 2007 Gray2700cc Turbo Diesel V6
6 speed ZF automatic transmission
Sunroof with Rear Moonroofs
4WD with low...Local UsedAutomaticNairobi, Mombasa Roa"
Verified IDDIAMOND,,,,Verified IDDIAMOND
Verified ID,,,,Verified ID
DIAMOND,,,,DIAMOND
"KSh 1,950,000","KSh 1,950,000",,,"KSh 1,950,000"
2700cc Turbo Diesel V6,,"Nairobi, Mombasa Road",,"2700cc Turbo Diesel V6
6 speed ZF automatic transmission
Sunroof with Rear Moonroofs
4WD with low...Local UsedAutomaticNairobi, Mombasa Road"
Local UsedAutomatic,,,,Local UsedAutomatic
Automatic,,,,Automatic
"Nairobi, Mombasa Road",,"Nairobi, Mombasa Road",,"Nairobi, Mombasa Road"
Mazda Demio 2015 Pink,"KSh 980,000","Nairobi, Westlands",https://jiji.co.ke/westlands/cars/mazda-demio-2015-pink-7P2wScw3jkOhIj16IqwJmb1V.html?page=1&pos=9&cur_pos=9&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=8,"KSh 980,000Mazda Demio 2015 PinkMazda Demio Diesel 2015. Fully loadedLocal UsedAutomaticNairobi, Westlands"
"KSh 980,000","KSh 980,000",,,"KSh 980,000"
"Mazda Demio Diesel 2015. Fully loadedLocal UsedAutomaticNairobi, Westlands",,"Nairobi, Westlands",,"Mazda Demio Diesel 2015. Fully loadedLocal UsedAutomaticNairobi, Westlands"
Mazda Demio Diesel 2015. Fully loaded,,,,Mazda Demio Diesel 2015. Fully loaded
"Nairobi, Westlands",,"Nairobi, Westlands",,"Nairobi, Westlands"
Premio 99/240 Front Grill,"KSh 5,300","Nairobi, Ngara",https://jiji.co.ke/ngara/car-parts-and-accessories/premio-99-240-front-grill-eYwaHdjH16jnPQJME246V17G.html?page=1&pos=13&cur_pos=13&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=12,"KSh 5,300Premio 99/240 Front GrillAffordable grill availableBrand NewNairobi, Ngara"
"KSh 5,300","KSh 5,300",,,"KSh 5,300"
"Affordable grill availableBrand NewNairobi, Ngara",,"Nairobi, Ngara",,"Affordable grill availableBrand NewNairobi, Ngara"
Affordable grill available,,,,Affordable grill available
Brand New,,,,Brand New
"Nairobi, Ngara",,"Nairobi, Ngara",,"Nairobi, Ngara"
PBS Chrome Rims,"KSh 8,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/car-parts-and-accessories/pbs-chrome-rims-uQCqwd05maDwqcOIq5KAOopw.html?page=1&pos=17&cur_pos=17&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=16,"KSh 8,000PBS Chrome RimsNew chrom rims fitting all vehicles for size 14Brand NewNairobi, Nairobi Central"
"KSh 8,000","KSh 8,000",,,"KSh 8,000"
"New chrom rims fitting all vehicles for size 14Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"New chrom rims fitting all vehicles for size 14Brand NewNairobi, Nairobi Central"
New chrom rims fitting all vehicles for size 14,,,,New chrom rims fitting all vehicles for size 14
"Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Nairobi, Nairobi Central"
Awsome Executive Highback Chairs,"KSh 18,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/furniture/awsome-executive-highback-chairs-i0VxtzV2QbmcjVq3OFl1dbxa.html?page=1&pos=21&cur_pos=21&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=20,"KSh 18,000Awsome Executive Highback ChairsThis type of chairs can mainly be used for office purposes,of which they are more comfortable to sit...Brand NewNairobi, Nairobi Central"
"KSh 18,000","KSh 18,000",,,"KSh 18,000"
"This type of chairs can mainly be used for office purposes,of which they are more comfortable to sit...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"This type of chairs can mainly be used for office purposes,of which they are more comfortable to sit...Brand NewNairobi, Nairobi Central"
"This type of chairs can mainly be used for office purposes,of which they are more comfortable to sit...",,,,"This type of chairs can mainly be used for office purposes,of which they are more comfortable to sit..."
Ford Ranger Wildtrak 2014 Orange,"KSh 2,450,000","Nairobi, Karen",https://jiji.co.ke/karen/cars/ford-ranger-wildtrak-2014-orange-oV3nypB6tjRo229OA5ciHBkk.html?page=1&pos=2&cur_pos=2&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=1,"KSh 2,450,000Ford Ranger Wildtrak 2014 OrangeFord ranger raptor double cab pickup 2014 model 3200cc diesel auto 4wd superbly cleanLocal UsedAutomaticNairobi, Karen"
"KSh 2,450,000","KSh 2,450,000",,,"KSh 2,450,000"
"Ford ranger raptor double cab pickup 2014 model 3200cc diesel auto 4wd superbly cleanLocal UsedAutomaticNairobi, Karen",,"Nairobi, Karen",,"Ford ranger raptor double cab pickup 2014 model 3200cc diesel auto 4wd superbly cleanLocal UsedAutomaticNairobi, Karen"
Ford ranger raptor double cab pickup 2014 model 3200cc diesel auto 4wd superbly clean,,,,Ford ranger raptor double cab pickup 2014 model 3200cc diesel auto 4wd superbly clean
"Nairobi, Karen",,"Nairobi, Karen",,"Nairobi, Karen"
Jaguar XE 20d Prestige RWD 2017 Black,"KSh 2,650,000","Nairobi, Kilimani",https://jiji.co.ke/kilimani/cars/jaguar-xe-20d-prestige-rwd-2017-black-ksec0xmusiE4fZDDqmTK359w.html?page=1&pos=6&cur_pos=6&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=5,"KSh 2,650,000Jaguar XE 20d Prestige RWD 2017 BlackVery sleek, very sporty, great performance. Affordable maintenance, statement car. Super speed. 19”...Foreign UsedAutomaticNairobi, Kilimani"
"KSh 2,650,000","KSh 2,650,000",,,"KSh 2,650,000"
"Very sleek, very sporty, great performance. Affordable maintenance, statement car. Super speed. 19”...Foreign UsedAutomaticNairobi, Kilimani",,"Nairobi, Kilimani",,"Very sleek, very sporty, great performance. Affordable maintenance, statement car. Super speed. 19”...Foreign UsedAutomaticNairobi, Kilimani"
"Very sleek, very sporty, great performance. Affordable maintenance, statement car. Super speed. 19”...",,,,"Very sleek, very sporty, great performance. Affordable maintenance, statement car. Super speed. 19”..."
Foreign UsedAutomatic,,,,Foreign UsedAutomatic
Foreign Used,,,,Foreign Used
"Nairobi, Kilimani",,"Nairobi, Kilimani",,"Nairobi, Kilimani"
Prado J120 After Market Headlight Right,"KSh 17,500","Nairobi, Ngara",https://jiji.co.ke/ngara/car-parts-and-accessories/prado-j120-after-market-headlight-right-bhEOEQmFF4G8eB32HIbQCkrp.html?page=1&pos=10&cur_pos=10&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=9,"KSh 17,500Prado J120 After Market Headlight RightPrado j120 after market headlight available...UsedNairobi, Ngara"
"KSh 17,500","KSh 17,500",,,"KSh 17,500"
"Prado j120 after market headlight available...UsedNairobi, Ngara",,"Nairobi, Ngara",,"Prado j120 after market headlight available...UsedNairobi, Ngara"
Prado j120 after market headlight available...,,,,Prado j120 after market headlight available...
