question,answer,category,hospital
How do I contact Nairobi Hospital?,You can contact Nairobi Hospital at +254-20-2845000. They are available 24/7 for emergencies.,contact,nairobi_hospital
What is the emergency number for Nairobi Hospital?,Emergency contact for Nairobi Hospital: +254-20-2845000. Available 24/7 for urgent medical situations.,emergency,nairobi_hospital
Where is Nairobi Hospital located?,"Nairobi Hospital is located at Argwings Kodhek Road, Hurlingham, Nairobi. Easily accessible by public transport with parking available.",location,nairobi_hospital
What is the website for Nairobi Hospital?,"Visit www.nairobihospital.org for online services, appointments, and information about Nairobi Hospital.",website,nairobi_hospital
How do I contact Kenyatta National Hospital?,You can contact Kenyatta National Hospital at +254-20-2726300. They are available 24/7 for emergencies.,contact,kenyatta_national
What is the emergency number for Kenyatta National Hospital?,Emergency contact for Kenyatta National Hospital: +254-20-2726300. Available 24/7 for urgent medical situations.,emergency,kenyatta_national
Where is Kenyatta National Hospital located?,"Kenyatta National Hospital is located at Hospital Road, Upper Hill, Nairobi. Easily accessible by public transport with parking available.",location,kenyatta_national
What is the website for Kenyatta National Hospital?,"Visit www.knh.or.ke for online services, appointments, and information about Kenyatta National Hospital.",website,kenyatta_national
How do I book an appointment at Nairobi Hospital?,"Call +254-20-2845000 or visit their online portal at www.nairobihospital.org. For specialists, book 2-3 days in advance. Emergency services available 24/7.",appointment,nairobi_hospital
How do I book an appointment at Kenyatta National Hospital?,Call +254-20-2726300 or visit the hospital in person. Registration is from 7AM-3PM on weekdays. Emergency services available 24/7.,appointment,kenyatta_national
What documents do I need for hospital appointment?,"Bring your national ID, insurance card (if applicable), and any previous medical records. For Kenyatta National Hospital, registration fee may apply.",appointment,both
Can I book appointments online?,Nairobi Hospital offers online appointment booking through their website. Kenyatta National Hospital primarily uses phone and in-person registration.,appointment,both
What are the visiting hours at Nairobi Hospital?,General wards: 2PM-4PM & 6PM-8PM daily. ICU: 3PM-4PM only. Private rooms: 10AM-8PM. Please check with reception for specific ward timings.,visiting_hours,nairobi_hospital
What are the visiting hours at Kenyatta National Hospital?,General wards: 2PM-4PM & 6PM-8PM daily. ICU: 3PM-4PM only. Pediatric: 10AM-12PM & 2PM-4PM. Maternity: 3PM-4PM & 7PM-8PM.,visiting_hours,kenyatta_national
Are there restrictions on number of visitors?,"Due to COVID-19 protocols, visitor numbers may be limited. Check with hospital reception for current visitor policies and restrictions.",visiting_hours,both
What departments are available at both hospitals?,"Major departments include: Cardiology, Neurology, Oncology, Pediatrics, Orthopedics, Radiology, Emergency Medicine, Maternity, Surgery, Internal Medicine, Psychiatry, Dermatology, Ophthalmology, ENT, Gynecology, Urology, Nephrology, Endocrinology. Both hospitals have qualified specialists and modern equipment.",departments,both
Do you have cardiology services?,"Yes, both hospitals have Cardiology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a cardiology appointment?,"For Cardiology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have neurology services?,"Yes, both hospitals have Neurology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a neurology appointment?,"For Neurology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have oncology services?,"Yes, both hospitals have Oncology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a oncology appointment?,"For Oncology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have pediatrics services?,"Yes, both hospitals have Pediatrics departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a pediatrics appointment?,"For Pediatrics appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have orthopedics services?,"Yes, both hospitals have Orthopedics departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
